gpu_id,timestamp,memory_used_MiB,memory_free_MiB,memory_total_MiB,gpu_util_pct,temp_C
0,2026/07/02 12:23:52.774,0,16276,16384,0,42
0,2026/07/02 12:24:00.167,0,16276,16384,1,42
0,2026/07/02 12:24:05.448,0,16276,16384,0,41
0,2026/07/02 12:24:10.484,0,16276,16384,0,41
0,2026/07/02 12:24:15.520,0,16276,16384,0,41
0,2026/07/02 12:24:21.756,1582,14694,16384,68,43
0,2026/07/02 12:24:26.785,1582,14694,16384,57,44
0,2026/07/02 12:24:33.324,1582,14694,16384,54,44
0,2026/07/02 12:24:38.354,1582,14694,16384,62,45
0,2026/07/02 12:24:43.402,1582,14694,16384,66,45
0,2026/07/02 12:24:50.237,1582,14694,16384,64,46
0,2026/07/02 12:24:55.290,1582,14694,16384,56,46
0,2026/07/02 12:25:01.645,1582,14694,16384,72,47
0,2026/07/02 12:25:06.702,1582,14694,16384,56,47
0,2026/07/02 12:25:11.754,1582,14694,16384,70,47
0,2026/07/02 12:25:16.802,1582,14694,16384,61,47
0,2026/07/02 12:25:21.849,1598,14678,16384,54,47
0,2026/07/02 12:25:26.880,1598,14678,16384,52,48
0,2026/07/02 12:25:31.926,1598,14678,16384,69,48
0,2026/07/02 12:25:36.979,1598,14678,16384,52,48
0,2026/07/02 12:25:42.009,1598,14678,16384,64,48
0,2026/07/02 12:25:50.670,1598,14678,16384,55,49
0,2026/07/02 12:25:55.716,1598,14678,16384,51,49
0,2026/07/02 12:26:00.782,1598,14678,16384,72,49
0,2026/07/02 12:26:06.540,1598,14678,16384,66,49
0,2026/07/02 12:26:11.598,1614,14662,16384,67,49
0,2026/07/02 12:26:22.320,1614,14662,16384,59,49
0,2026/07/02 12:26:27.379,1614,14662,16384,73,49
0,2026/07/02 12:26:32.457,1614,14662,16384,51,49
0,2026/07/02 12:26:37.504,1614,14662,16384,69,50
0,2026/07/02 12:26:42.554,1614,14662,16384,65,50
0,2026/07/02 12:26:51.827,1614,14662,16384,64,50
0,2026/07/02 12:26:56.868,1614,14662,16384,68,50
0,2026/07/02 12:27:06.476,1614,14662,16384,56,50
0,2026/07/02 12:27:11.526,1614,14662,16384,54,50
0,2026/07/02 12:27:18.068,1614,14662,16384,60,50
0,2026/07/02 12:27:23.119,1614,14662,16384,67,50
0,2026/07/02 12:27:28.170,1614,14662,16384,56,50
0,2026/07/02 12:27:33.201,1614,14662,16384,53,50
0,2026/07/02 12:27:38.250,1614,14662,16384,68,50
0,2026/07/02 12:27:45.231,1614,14662,16384,73,50
0,2026/07/02 12:27:51.698,1614,14662,16384,59,50
0,2026/07/02 12:28:04.755,1614,14662,16384,74,51
0,2026/07/02 12:28:09.808,1614,14662,16384,76,51
0,2026/07/02 12:28:17.497,1614,14662,16384,64,51
0,2026/07/02 12:28:22.535,1614,14662,16384,53,51
0,2026/07/02 12:28:33.261,1614,14662,16384,69,51
0,2026/07/02 12:28:38.310,1614,14662,16384,60,51
0,2026/07/02 12:28:46.264,1614,14662,16384,68,51
0,2026/07/02 12:28:52.535,1614,14662,16384,68,51
0,2026/07/02 12:28:57.562,1614,14662,16384,53,51
