gpu_id,timestamp,memory_used_MiB,memory_free_MiB,memory_total_MiB,gpu_util_pct,temp_C
0,2026/07/02 12:32:02.422,0,16276,16384,1,38
0,2026/07/02 12:32:08.246,0,16276,16384,1,38
0,2026/07/02 12:32:13.527,0,16276,16384,0,38
0,2026/07/02 12:32:18.564,0,16276,16384,0,38
0,2026/07/02 12:32:23.689,0,16276,16384,0,38
0,2026/07/02 12:32:29.790,1582,14694,16384,56,40
0,2026/07/02 12:32:34.838,1582,14694,16384,62,41
0,2026/07/02 12:32:45.248,1582,14694,16384,64,42
0,2026/07/02 12:32:50.294,1582,14694,16384,65,43
0,2026/07/02 12:32:57.433,1582,14694,16384,53,44
0,2026/07/02 12:33:02.492,1582,14694,16384,66,44
0,2026/07/02 12:33:07.542,1582,14694,16384,56,45
0,2026/07/02 12:33:12.586,1582,14694,16384,55,45
0,2026/07/02 12:33:22.057,1582,14694,16384,51,46
0,2026/07/02 12:33:27.106,1582,14694,16384,57,46
0,2026/07/02 12:33:32.153,1598,14678,16384,54,46
0,2026/07/02 12:33:41.536,1598,14678,16384,55,47
0,2026/07/02 12:33:46.569,1598,14678,16384,53,47
0,2026/07/02 12:33:51.618,1598,14678,16384,67,47
0,2026/07/02 12:33:57.319,1598,14678,16384,51,48
0,2026/07/02 12:34:02.363,1598,14678,16384,56,48
0,2026/07/02 12:34:09.867,1598,14678,16384,63,48
0,2026/07/02 12:34:14.919,1598,14678,16384,57,48
0,2026/07/02 12:34:23.976,1614,14662,16384,62,48
0,2026/07/02 12:34:29.024,1614,14662,16384,62,48
0,2026/07/02 12:34:34.074,1614,14662,16384,55,48
0,2026/07/02 12:34:39.128,1614,14662,16384,72,49
0,2026/07/02 12:34:44.177,1614,14662,16384,58,49
0,2026/07/02 12:34:49.225,1614,14662,16384,54,49
0,2026/07/02 12:34:55.453,1614,14662,16384,61,49
0,2026/07/02 12:35:00.504,1614,14662,16384,56,49
0,2026/07/02 12:35:06.983,1614,14662,16384,58,49
0,2026/07/02 12:35:12.040,1614,14662,16384,74,49
0,2026/07/02 12:35:22.328,1614,14662,16384,53,49
0,2026/07/02 12:35:27.378,1614,14662,16384,59,50
0,2026/07/02 12:35:40.566,1614,14662,16384,55,50
0,2026/07/02 12:35:45.594,1614,14662,16384,50,50
0,2026/07/02 12:35:53.523,1614,14662,16384,51,50
0,2026/07/02 12:35:58.577,1614,14662,16384,67,50
0,2026/07/02 12:36:05.821,1614,14662,16384,69,50
0,2026/07/02 12:36:10.870,1614,14662,16384,51,50
0,2026/07/02 12:36:19.229,1614,14662,16384,62,50
0,2026/07/02 12:36:24.276,1614,14662,16384,55,50
0,2026/07/02 12:36:29.326,1614,14662,16384,53,50
0,2026/07/02 12:36:39.223,1614,14662,16384,59,50
0,2026/07/02 12:36:44.274,1614,14662,16384,69,50
0,2026/07/02 12:36:49.367,1614,14662,16384,54,50
0,2026/07/02 12:36:54.398,1614,14662,16384,51,51
0,2026/07/02 12:36:59.467,1614,14662,16384,67,50
0,2026/07/02 12:37:04.531,1614,14662,16384,49,50
0,2026/07/02 12:37:09.581,1614,14662,16384,71,51
0,2026/07/02 12:37:22.337,1614,14662,16384,69,51
0,2026/07/02 12:37:27.386,1614,14662,16384,51,50
0,2026/07/02 12:37:32.434,1614,14662,16384,65,51
0,2026/07/02 12:37:42.476,1614,14662,16384,64,51
0,2026/07/02 12:37:47.527,1614,14662,16384,53,51
0,2026/07/02 12:38:02.763,1614,14662,16384,55,51
0,2026/07/02 12:38:07.811,1614,14662,16384,62,51
0,2026/07/02 12:38:20.657,1614,14662,16384,63,51
0,2026/07/02 12:38:28.239,1614,14662,16384,57,51
0,2026/07/02 12:38:33.299,1614,14662,16384,61,51
0,2026/07/02 12:38:38.360,1614,14662,16384,53,51
0,2026/07/02 12:38:47.754,1614,14662,16384,61,51
0,2026/07/02 12:38:52.783,1614,14662,16384,53,51
0,2026/07/02 12:39:06.178,1614,14662,16384,54,51
0,2026/07/02 12:39:11.226,1614,14662,16384,60,51
0,2026/07/02 12:39:17.588,1614,14662,16384,57,51
0,2026/07/02 12:39:22.638,1614,14662,16384,59,51
0,2026/07/02 12:39:33.469,1614,14662,16384,65,51
0,2026/07/02 12:39:38.524,1614,14662,16384,64,51
0,2026/07/02 12:39:45.900,1614,14662,16384,55,51
0,2026/07/02 12:39:53.221,1614,14662,16384,56,51
0,2026/07/02 12:40:06.003,1614,14662,16384,57,51
0,2026/07/02 12:40:11.055,1614,14662,16384,46,51
0,2026/07/02 12:40:18.692,1614,14662,16384,52,51
0,2026/07/02 12:40:23.744,1614,14662,16384,54,51
